JUEVES 10 DE JULIO					
Horario	Moderador	Oradores	Título	Descripción	
15:00 HS	ACREDITACIÓN Y RECEPCIÓN				
APERTURA					
15:30 a 15:45 HS		"Teresa Oyhambure, CFI
Marcelo Pérez, CFI"	Inicio Taller	Palabras de bienvenida!! Comentarios a la validación del diagnóstico en territorio del equipo apícola del CFI en relación a la integración generacional.	
15:50 a 16:05 HS	Marcelo Pérez, Responsable y coordinador del equipo apícola CFI	Rodrigo Cerminara	La participación de jóvenes en actividades productivas. Tendencias y desafíos	Rodrigo Cerminara: La situación actual de los jóvenes y su vinculación con proyectos productivos	
					
16:05 a 16:20 HS		Antonio Fabro, Productor de material vivo, ex-docente		Antonio Fabro: La importancia de la integración generacional en la apicultura. Desafíos de los jóvenes en emprendimientos productivos.	
16:20 a 16:30 HS					
					
16:30 a 17:00 HS		Marilina Beltramo, Presidenta Federación de Centros Juveniles región central	Líder, se nace o se hace?	La importancia de la integración de jóvenes en la apicultura	
17:00 HS a 17:15 HS					
17:15 a 17:45 HS	Melisa Geisa,	Jorge Lanza, productor apícola de Provincia de Bs.As	Casos de Éxito. Jóvenes apícolas de la región central	Caso exitoso de jóvenes productores apícolas de Balcarce	
		Rodolfo Nicolás Bringas, produtor apícola de Villa de Soto		Caso exitoso de jóvenes productores apícolas de Villa de Soto	
		Ezequiel Fabro, productor apícola de Malabrigo, Santa Fe		Caso exitoso de jóvenes productores apícolas de Santa Fe	
17:45 a 18:00 HS	ESPACIO DE PREGUNTAS Y PROPUESTAS				
TALLER : TRABAJO CON CONSIGNAS DISPARADORAS					
18:00 a 18:40 HS	Conducción del taller	Martín Colombani y Nicolás Fioretti, apicultor y docente, respectivamente.	"Nuevo paradigma productivo. Tendencias y desafíos en el sector.
Consigna: ¿Que les hace falta a los jóvenes para saberse productores apícolas?"	"Los productores proponen la consigna disparadora y se reflexiona con los jóvenes apicultores. Conclusiones.

Metodología: los jóvenes contestarán la consigna, se listarán en pantalla sus respuestas (proyecto conectado a notebook) y se trabajará sobre el abordaje de las mismas."	
					
CIERRE Y CONCLUSIONES					
18:40 a 18:50 HS			Conclusiones		
